imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,poster_path,wiki_link,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
tt4642936,Warrior Savitri,Warrior Savitri,0,2016,136,Action|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Poster_Of_Waarior_Savitri.jpg/220px-Poster_Of_Waarior_Savitri.jpg,https://en.wikipedia.org/wiki/Waarrior_Savitri,5,270,A modern day adaptation of the legendary fable of Savitri  Satyavaan and Yamaraj from Mahabharata  one of the major Sanskrit epics of ancient India. The modern day Savitri is adept in martial arts and will do anything to save her husband.,A modern day adaptation of the legendary fable of Savitri  Satyavaan and Yamaraj from Mahabharata  one of the major Sanskrit epics of ancient India. The modern day Savitri is adept in martial arts and will do anything to save her husband.,NA,Niharica Raizada|Rajat Barmecha|Lucy Pinder|Tim Man|Om Puri|Gulshan Grover|Ron Smoorenburg|Aditya Raj|Karamveer Choudhary|Sheetal Khandal|Palak J. Jhaveri|,NA,25 August 2016 (India)
tt6752836,Ek Rani Aisi Bhi Thi,Ek Rani Aisi Bhi Thi,0,2013,\N,Biography|History,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Ek_Thi_Rani_Aisi_Bhi.jpg/220px-Ek_Thi_Rani_Aisi_Bhi.jpg,https://en.wikipedia.org/wiki/Ek_Thi_Rani_Aisi_Bhi,0,0,Simple but yet elegant Rajmata and her journey from one of the highest aristocrats of the land to a well-known political personality.,Simple but yet elegant Rajmata and her journey from one of the highest aristocrats of the land to a well-known political personality.,NA,Hema Malini|Vinod Khanna|Sachin Khedekar|Rajesh Shringarpure|,NA,NA
tt3814100,M.A.D: Mad About Dance,M.A.D: Mad About Dance,0,2014,125,Drama|Musical,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Mad_About_Dance_Official_Poster.jpg/220px-Mad_About_Dance_Official_Poster.jpg,https://en.wikipedia.org/wiki/Mad_About_Dance,6.2,97,NA,NA,NA,NA,NA,NA
tt3495030,Dum Laga Ke Haisha,Dum Laga Ke Haisha,0,2015,110,Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/DLHK_Poster.jpeg/220px-DLHK_Poster.jpeg,https://en.wikipedia.org/wiki/Dum_Laga_Ke_Haisha,7.5,15706,It is the 1990s  the tape-cassette is dying  CDs will soon be the rage and a regular arranged marriage will turn out to be a perfect mismatch. Prem (Ayushmann Khurrana) is a shy music buff who runs a tape recording shop in Haridwar. Sandhya (Bhumi Pednekar) likes to dance to the band tunes at her own wedding. He has nightmares about drawing a blank at his English exam. She is about to carve a niche for herself as a teacher. But now  they are married and they are supposed to spend a lifetime together - and he is still trying to find balance on their scooter ride together. From overcoming his fear of the English language to dealing with an overbearing father  he discovers that his oversized wife  who he thought was a spanner in his spool  will actually lead him to something quite cool.,Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,NA,Ayushmann Khurrana|Bhumi Pednekar|Sanjay Mishra|Kumar Sanu|Sheeba Chaddha|Seema Bhargava|Chandrachoor Rai|Devika Vatsa|Alka Amin|Shardul Rana|Mahesh Sharma|Shrikant Verma|Swedha Singh|V.K. Sharma|,23 wins & 4 nominations,27 February 2015 (India)
tt1980970,Gandhi to Hitler,Gandhi to Hitler,0,2011,108,Drama|History|War,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Dear_Friend_Hitler_film_poster.jpg/220px-Dear_Friend_Hitler_film_poster.jpg,https://en.wikipedia.org/wiki/Dear_Friend_Hitler,2.6,188,Chancellor Adolf Hitler assists Azad Hind Fauj  led by Subhas Chandra Bose  which include a group of Indians who are frustrated with the Gandhian manner of non-violence to compel the oppressive British to quit their country. Punjab-based Balbir Singh is one such member of the Fauj  who has left his wife  Amrita  and son  Veer  behind. Ironically  Amrita is a follower of Mohandas Gandhi  and patiently awaits her husband's return home. Mohandas writes to Adolf  addressing him as 'dear friend'  imploring him to end the violence. The allies  which include America  Russia  Britain and France close in on the Germans  while Adolf  a little perturbed by defectors  but still in company of many loyal supporters  is determined to continue  and even makes preparations to wed his mistress of 12 years  Eva Braun. Meanwhile Balbir and the rest of the Fauj must risk their lives through treacherous territory  allied soldiers  and quite surprisingly - they themselves - when they end up bickering and ...,Adolf Hitler assists India in it's freedom struggle against the British  while Mohandas Gandhi writes to him to end violence.,NA,Raghuvir Yadav|Neha Dhupia|Aman Verma|Nassar Abdulla|Avijit Dutt|Lucky Vakharia|Nikita Anand|Nalin Singh|,NA,29 July 2011 (India)
tt2104937,Miley - Naa Miley - Hum,Miley - Naa Miley - Hum,0,2011,114,Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Miley_naa_Miley_hum_poster.jpg/220px-Miley_naa_Miley_hum_poster.jpg,https://en.wikipedia.org/wiki/Miley_naa_Miley_hum_(2011_film),3,159,Chirag comes from a wealthy background and assists his father  Siddharth Mehra  to maintain their farmland. His parents have been divorced due to incompatibility arising mainly due to his businesswoman mother  Shalini's hatred of tennis  and he lives with them every alternate month. Both would like him to get married  and accordingly Shalini picks London-based Kamiah  while Siddharth picks Bhatinda-based Manjeet Ahluwalia. Chirag  who sneaks off to practice tennis at night  is asked to make a choice but informs them that he is in love with a model named Anishka. Watch what happens when the displeased couple decide to confront and put pressure on a struggling and unknowing klutz-like Anishka to leave their son alone.,A tennis player incurs his pushy divorced parents' displeasure when he pretends to fall for a struggling model.,NA,Chirag Paswan|Kangana Ranaut|Neeru Bajwa|Sagarika Ghatge|Poonam Dhillon|Kabir Bedi|Kunal Kumar|Suresh Menon|Dalip Tahil|Shweta Tiwari|,NA,4 November 2011 (India)
tt3309844,Titoo MBA,Titoo MBA,0,2014,111,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Titoo_MBA.jpg/220px-Titoo_MBA.jpg,https://en.wikipedia.org/wiki/Titoo_MBA,4.8,88,NA,NA,NA,NA,NA,NA
tt1706317,Tezz,Tezz,0,2012,121,Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Tezz_Movie_First_Look.jpg/220px-Tezz_Movie_First_Look.jpg,https://en.wikipedia.org/wiki/Tezz,3.9,2001,To revenge his past  Aakash Rana plants bomb in a train endangering lives of 500 passengers.,To revenge his past  Aakash Rana plants bomb in a train endangering lives of 500 passengers.,NA,Anil Kapoor|Ajay Devgn|Mohanlal|Kangana Ranaut|Zayed Khan|Boman Irani|Sameera Reddy|Philip Martin Brown|Sagar Arya|Dominic Power|Avika Gor|Puja Bhatt|Bhavna Pani|Mudit Kumar Nair|,NA,26 April 2012 (India)
tt5933706,Saansein: The Last Breath,Saansein: The Last Breath,0,2016,101,Horror|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Saansein_poster.jpg/220px-Saansein_poster.jpg,https://en.wikipedia.org/wiki/Saansein,3.2,101,Shirin  a singer mysteriously disappears. Abhay looks for Shirin and tries to solve this mysterious incident.,Shirin  a singer mysteriously disappears. Abhay looks for Shirin and tries to solve this mysterious incident.,NA,Sonarika Bhadoria|Amir Dalvi|Rajniesh Duggall|Vishal Malhotra|Neetha Shetty|,NA,25 November 2016 (India)
tt7695014,Saheb Biwi Aur Gangster 3,Saheb Biwi Aur Gangster 3,0,2018,140,Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Saheb%2C_Biwi_Aur_Gangster_3_-_Poster.jpg/220px-Saheb%2C_Biwi_Aur_Gangster_3_-_Poster.jpg,https://en.wikipedia.org/wiki/Saheb_Biwi_Aur_Gangster_3,4.3,631,The royal saga of deceit  conspiracy  greed and lust continues in the third installment of the series  as the Saheb and Biwi are pitted against an enemy and everyone involved is scheming ruthlessly for their own personal gain.,The royal saga of deceit  conspiracy  greed and lust continues in the third installment of the series  as the Saheb and Biwi are pitted against an enemy and everyone involved is scheming ruthlessly for their own personal gain.,NA,Sanjay Dutt|Jimmy Sheirgill|Mahie Gill|Chitrangda Singh|Kabir Bedi|Deepak Tijori|Pamela Singh Bhutoria|Soha Ali Khan|Nafisa Ali|Deep Raj Rana|Zakir Hussain|Manas Thakkar|Rishina Kandhari|Kanika Dang|,NA,27 July 2018 (USA)
